სათაური,ფასი,წიგნის სურათის ლინკი
მსოფლიოს ბუნების ძეგლები აღმოაჩინე და შეისწავლე,44.9 ₾,https://apiv1.biblusi.ge/storage/book/6ZnkYj2JgNRgQOiFXjAIV26cSYo9ITytVYDYctPX.jpg
ტომ სოიერი დეტექტივი,22 ₾,https://apiv1.biblusi.ge/storage/book/jC21tnM7LhUFVodr2RhlaE5iAEs44miFa7ClLpXx.jpg
ჯადოსნური საშობაო დაპირება-ჩვენთვის მოყოლილი ამბები,20 ₾,https://apiv1.biblusi.ge/storage/book/mbyXNyQB1NI7RjmNa22Puk2wytwguVLRzqnDcnfi.jpg
მბ.6-7 კლოდი არდადეგებზე 2,8.9 ₾,https://apiv1.biblusi.ge/storage/book/qniGucU0ULZrCYsDlsevihMxoWe0uNVHCfppw4LK.png
HUNTER X HUNTER VOL. 03,25.99 ₾,https://apiv1.biblusi.ge/storage/book/pMiC5aPnETaECHuRMfK8X59SEIktm3LDlf4pjRm3.jpg
TOKYO GHOUL VOL. 02,35.95 ₾,https://apiv1.biblusi.ge/storage/book/n6l9H2M3h7wVjhHZz2zxYiYxPaCIhLn6KmzW1uv5.jpg
დანიელ ჭონქაძე - სურამის ციხე,22 ₾,https://apiv1.biblusi.ge/storage/book/S7kcHZPtQgR32g9ySeSsnUzGMtQ1RxYgAwku0ZU8.png
PROMISED NEVERLAND VOL. 1,25.99 ₾,https://apiv1.biblusi.ge/storage/book/JB0MHAp5KWp39fwbBHk38gqXuDxT5DI1RIy2Qswz.jpg
HAIKYU!! VOL. 03,25.99 ₾,https://apiv1.biblusi.ge/storage/book/CUjy79kweo5w7tztRfR5fLd0tmVwAqXRMHVZtaPr.jpg
გოგოობის კანონი/ დევის ცოლის სიცილი,12.53 ₾,https://apiv1.biblusi.ge/storage/book/wwO4eYrvDFd9DmLPuaTp1TfyTkHX4qEh3XuyNRON.jpg
100 ქართული ხატი. 100 Georgian Icons,99.9 ₾,https://apiv1.biblusi.ge/storage/book/5ewQck059GlJeqNe9vaVTNT4suCPjuli8jEKugSd.jpg
მიხეილ ჯავახიშვილი - ლამბალო და ყაშა,22 ₾,https://apiv1.biblusi.ge/storage/book/JLzNnG2Hlp5uJgrVLrK8WjqKkb8ehzSGSq6dUFQ1.png
The Fact-Packed Activity,29.95 ₾,https://apiv1.biblusi.ge/storage/book/11kd5ZUUf33MZ0BiwrvXKDAITSbDbY8kYqM5Xvx9.jpg
The Solar System,49.95 ₾,https://apiv1.biblusi.ge/storage/book/Vi4BGqUpPuOrttnwXHIWq7dgvz396S2UWpMwqK9D.jpg
HUNTER X HUNTER VOL. 02,25.99 ₾,https://apiv1.biblusi.ge/storage/book/foWgu9SBPDsTgtKf1jUhxn4KNhXF5Bvt4mKX8Htl.jpg
Through the Night Sky,29.99 ₾,https://apiv1.biblusi.ge/storage/book/hgQ4GpFm7ILUwZNoK5DHcGR5ceFUFYfOeni0nt6J.jpg
ALICE IN BORDERLAND VOL. 3,59.95 ₾,https://apiv1.biblusi.ge/storage/book/ilZKdAqPdGXQe3sJoXH2t1YIpfYNLO7I5qPalOuD.jpg
PROMISED NEVERLAND VOL. 2,25.99 ₾,https://apiv1.biblusi.ge/storage/book/5y5m2QdTmXTk7SWTNHRxPVRo8h7U3N01v47OLG7G.jpg
HAIKYU!! VOL. 01,25.99 ₾,https://apiv1.biblusi.ge/storage/book/qEaponnCKYkkaf4GPXLunRflVO1AbtPDMMcQYFns.jpg
TOTAL RECALL,29.99 ₾,https://apiv1.biblusi.ge/storage/book/WGTnyfzowVBLIPtphBt6Nofwtz2KgYaf2KpDPTec.jpg
HAIKYU!! VOL. 03,25.99 ₾,https://apiv1.biblusi.ge/storage/book/CUjy79kweo5w7tztRfR5fLd0tmVwAqXRMHVZtaPr.jpg
The Solar System,49.95 ₾,https://apiv1.biblusi.ge/storage/book/Vi4BGqUpPuOrttnwXHIWq7dgvz396S2UWpMwqK9D.jpg
The Fact-Packed Activity,29.95 ₾,https://apiv1.biblusi.ge/storage/book/11kd5ZUUf33MZ0BiwrvXKDAITSbDbY8kYqM5Xvx9.jpg
First Space Encyclopedia,37.95 ₾,https://apiv1.biblusi.ge/storage/book/uVoEChkVEyyRn68A4ZnfqQwQU7A9yAomM6Ah3O3n.webp
გოგოობის კანონი/ დევის ცოლის სიცილი,12.53 ₾,https://apiv1.biblusi.ge/storage/book/wwO4eYrvDFd9DmLPuaTp1TfyTkHX4qEh3XuyNRON.jpg
PROMISED NEVERLAND VOL. 2,25.99 ₾,https://apiv1.biblusi.ge/storage/book/5y5m2QdTmXTk7SWTNHRxPVRo8h7U3N01v47OLG7G.jpg
ONE-PUNCH MAN VOL. 01,29.99 ₾,https://apiv1.biblusi.ge/storage/book/Cpiy8O9WG7kFqsxWMlLVRlWjPgy9cN5MisMqqfOw.jpg
Braiding Sweetgrass,39.95 ₾,https://apiv1.biblusi.ge/storage/book/AXgFWTDZ6Baf2nkWqeVWVt9Wzp3D9D1LcuhZ4i9x.jpg
JOJO'S BIZARRE ADV RT 1:1 HA,59.95 ₾,https://apiv1.biblusi.ge/storage/book/iVeNUgzM5axd1VDkTSbIeRe6QyAWn8Pgwj58lRFe.jpg
ASSASSINATION CLASSROOM 02,25.99 ₾,https://apiv1.biblusi.ge/storage/book/HR91HM2IetBHK9UQ67IxlQFv88PmbsFzaze6fLaZ.jpg
The Fury,52.95 ₾,https://apiv1.biblusi.ge/storage/book/x9w1Nsd3tGPpDfZlVBvSTLIPwYrGeETzN7aaWgeZ.jpg
მიხეილ ჯავახიშვილი - ლამბალო და ყაშა,22 ₾,https://apiv1.biblusi.ge/storage/book/JLzNnG2Hlp5uJgrVLrK8WjqKkb8ehzSGSq6dUFQ1.png
HAIKYU!! VOL. 01,25.99 ₾,https://apiv1.biblusi.ge/storage/book/qEaponnCKYkkaf4GPXLunRflVO1AbtPDMMcQYFns.jpg
დანიელ ჭონქაძე - სურამის ციხე,22 ₾,https://apiv1.biblusi.ge/storage/book/S7kcHZPtQgR32g9ySeSsnUzGMtQ1RxYgAwku0ZU8.png
კლასგარეშე საკითხავი-პარადიის არდადეგები,9.95 ₾,https://apiv1.biblusi.ge/storage/book/vazcRG6nURS9XFZHnSNiKXKiY0wB06Gneo3TPaRp.jpg
BLACK CLOVER VOL. 02,25.99 ₾,https://apiv1.biblusi.ge/storage/book/pQPcQUj97X9PCEhqQQ4YGv63sZJbPPThyrqiinN1.jpg
ჰეკატე - სიზმრები,19.95 ₾,https://apiv1.biblusi.ge/storage/book/9Ni28k6pmO55YSaFs2ei3Gx9J8J0S69Xivu3Lf87.png
კლასგარეშე საკითხავი-პალომა _ უცნაური მეფის ასული,14.95 ₾,https://apiv1.biblusi.ge/storage/book/q87YJ7Llp5ws871jlkY1Vd72JTHrPCZI0lL54aCF.jpg
მსოფლიოს ისტორია ილუსტრირებული 3ტ,27.95 ₾,https://apiv1.biblusi.ge/storage/book/lmmscEv8D746xfOOR9pUL3CCeXDo58v7DrkSlMmL.png
NARUTO: SAKURA'S STORY,25.99 ₾,https://apiv1.biblusi.ge/storage/book/W94xfyzJyStbO9nOz0peK0xcghEaLBt9G9IdZIy1.jpg
NARUTO: KAKASHI'S STORY 6TH,25.99 ₾,https://apiv1.biblusi.ge/storage/book/AfUlqPFExxx6loQOrQWHtkpFDvRG3sdDfaHbSncn.jpg
ნდობის სისწრაფე,24.95 ₾,https://apiv1.biblusi.ge/storage/book/IbuwIViCwNYurndH6oTiJYxquetQTolzoYmSyc9O.png
ვირჯინია ვულფი - საკუთარი ოთახი,11.95 ₾,https://apiv1.biblusi.ge/storage/book/V7C2NNZ4hjzvlONWsx7OAY2EVAvt91kiT4TcWgqD.png
POKEMON ADV B2W2 04,25.99 ₾,https://apiv1.biblusi.ge/storage/book/NxxixCUTPJMjA2mEjkvJpHNg7n6RZ8hA7U2ZYYvW.jpg
